plot,herbivores,transect,distance,cover_status,achmil,anevir,astcan,bapalb,boucur,carbic,chafas,descan,echpal,elyvir,eryyuc,galbor,pendig,phyvir,rudhir,solrig,sornut,symeri
1,yes,1,far,uncover,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
1,yes,1,near,cover,0,0,0,0,1,0.5,0,7,0,0,0,0,0,0,1,0,27,0
1,yes,1,near,uncover,0,0,0,0,0,4,0,10,0,0,0,0,0,0,1,0,0,0
1,yes,2,far,cover,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
1,yes,2,far,uncover,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
1,yes,2,near,cover,0,0,0,0,0,3,0.5,25,0,0,0,0,0,0,13,0,1,0
1,yes,2,near,uncover,0,0,0,0,1,0,0.5,8,0,0,0,0,0,0,2,0,0,0
1,yes,3,far,cover,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
1,yes,3,near,cover,0,0,0,0,0,0,1,6,0,0,0,0,0,0,2,0,5,0
1,yes,3,near,uncover,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,yes,4,far,cover,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,5,0
1,yes,4,far,uncover,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
1,yes,4,near,cover,0,0,0,0,0,0,0.75,15,0,0,0,0,0,0,1,0,18,0
1,yes,4,near,uncover,0,0,0,0,0,0,1,9,0,0,0,0,0,0,3,0,0,0
2,yes,1,far,cover,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2,yes,1,far,uncover,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,yes,1,near,cover,0,0,0,6,0,6,3,0.1,0,0,0,0,0,0,0,0,0,0
2,yes,1,near,uncover,0,0,0,0,2,15,2,2,0,0,0,0,0,0,0,0,0,2
2,yes,2,far,cover,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,8,0
2,yes,2,far,uncover,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2,yes,2,near,cover,0,0,0,0,0,0,2.5,55,0,0,0,0,0.5,0,2,0,12,0
2,yes,2,near,uncover,0,0,0,0,0,0,3,4,0,0,0,0,3,0,0,0,0,0
2,yes,3,near,cover,0,0,0,0,0,0,0.5,22,0,0,0,0,0,0,0,0,0,0
2,yes,3,near,uncover,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0
2,yes,4,far,cover,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2,yes,4,far,uncover,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
2,yes,4,near,cover,0,1,0,0,0,0,4,25,0,0,0,0,0,2.5,7,0,10,0
2,yes,4,near,uncover,0,0,0,0,0,0,3,10,0,0,0,0,0,0,2.5,0,9,0
3,yes,1,far,cover,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0
