plot,species,total,treatment
1,bapalb,13,herbivores
1,pendig,19,herbivores
1,asteri,0,herbivores
1,eryyuc,1,herbivores
2,bapalb,35,herbivores
2,pendig,28,herbivores
2,asteri,6,herbivores
2,eryyuc,1,herbivores
3,bapalb,31,herbivores
3,pendig,60,herbivores
3,asteri,1,herbivores
3,eryyuc,2,herbivores
4,bapalb,23,herbivores
4,pendig,9,herbivores
4,asteri,7,herbivores
4,eryyuc,3,herbivores
5,bapalb,27,no_herb
5,pendig,63,no_herb
5,asteri,1,no_herb
5,eryyuc,0,no_herb
6,bapalb,22,no_herb
6,pendig,61,no_herb
6,asteri,2,no_herb
6,eryyuc,6,no_herb
7,bapalb,16,no_herb
7,pendig,65,no_herb
7,asteri,0,no_herb
7,eryyuc,29,no_herb
8,bapalb,34,no_herb
8,pendig,38,no_herb
8,asteri,25,no_herb
8,eryyuc,10,no_herb
