plot,species,distance_from_center,distance_from_edge,trt
1,pendig,9.746783,0.146783,herb
1,pendig,10.696365,1.096365,herb
1,pendig,10.57325,0.97325,herb
1,pendig,10.718081,1.118081,herb
1,pendig,10.051688,0.451688,herb
1,bapalb,10.361587,0.761587,herb
1,eryyuc,14.315416,4.715416,herb
2,pendig,10.794,1.194,herb
2,asteri,17.720853,8.120853,herb
2,asteri,19.502869,9.902869,herb
2,asteri,20.77868,11.17868,herb
2,asteri,21.634,12.034,herb
2,asteri,21.999,12.399,herb
2,asteri,21.559,11.959,herb
2,bapalb,10.724757,1.124757,herb
2,pendig,9.89,0.29,herb
2,pendig,10.678,1.078,herb
2,pendig,11.026,1.426,herb
2,pendig,11.179,1.579,herb
2,bapalb,13.885,4.285,herb
2,bapalb,13.766,4.166,herb
3,bapalb,10.39,0.79,herb
3,eryyuc,10.343,0.743,herb
3,bapalb,9.667,0.067,herb
3,bapalb,12.23,2.63,herb
3,asteri,20.4605,10.8605,herb
3,asteri,21.166,11.566,herb
3,asteri,21.584,11.984,herb
3,asteri,15.715,6.115,herb
3,asteri,17.8256,8.2256,herb
4,bapalb,9.8863,0.2863,herb
4,pendig,10.587,0.987,herb
4,pendig,9.783,0.183,herb
4,bapalb,10.1088,0.5088,herb
4,pendig,9.863,0.263,herb
4,pendig,9.71,0.11,herb
4,pendig,9.637,0.037,herb
5,pendig,10.539,0.939,no_herb
5,bapalb,9.757,0.157,no_herb
5,pendig,11.359,1.759,no_herb
5,pendig,11.597,1.997,no_herb
5,pendig,12.0005,2.4005,no_herb
5,pendig,10.368,0.768,no_herb
5,asteri,17.8366,8.2366,no_herb
6,pendig,11.063,1.463,no_herb
6,pendig,9.64055,0.04055,no_herb
6,pendig,10.2868,0.6868,no_herb
6,pendig,9.837,0.237,no_herb
6,eryyuc,12.712,3.112,no_herb
6,bapalb,10.0537,0.4537,no_herb
6,eryyuc,10.0959,0.4959,no_herb
6,eryyuc,10.875,1.275,no_herb
6,eryyuc,10.179,0.579,no_herb
6,asteri,13.7767,4.1767,no_herb
6,asteri,19.348,9.748,no_herb
6,pendig,10.2879,0.6879,no_herb
7,pendig,10.1798,0.5798,no_herb
7,pendig,9.6255,0.0255,no_herb
7,pendig,10.205,0.605,no_herb
7,pendig,10.6304,1.0304,no_herb
7,pendig,11.0043,1.4043,no_herb
7,pendig,12.463,2.863,no_herb
7,pendig,11.8987,2.2987,no_herb
7,pendig,10.171,0.571,no_herb
7,pendig,10.2067,0.6067,no_herb
7,pendig,9.808,0.208,no_herb
7,pendig,9.7641,0.1641,no_herb
8,bapalb,11.339,1.739,no_herb
8,eryyuc,9.745,0.145,no_herb
8,asteri,9.696,0.096,no_herb
8,asteri,20.3681,10.7681,no_herb
8,asteri,10.932,1.332,no_herb
8,asteri,14.6261,5.0261,no_herb
8,asteri,14.1791,4.5791,no_herb
8,asteri,14.0026,4.4026,no_herb
8,asteri,13.6832,4.0832,no_herb
8,pendig,10.2637,0.6637,no_herb
8,pendig,10.1115,0.5115,no_herb
8,asteri,9.789,0.189,no_herb
8,pendig,10.051,0.451,no_herb
8,pendig,10.338,0.738,no_herb
8,pendig,10.949,1.349,no_herb
8,asteri,11.837,2.237,no_herb
8,asteri,14.931,5.331,no_herb
8,asteri,20.189,10.589,no_herb
8,asteri,11.121,1.521,no_herb
8,asteri,11.169,1.569,no_herb
